Township,EMS,Traffic,Fire
Lower Merion,10,6,5
Montgomery,5,6,0
Norristown,21,1,0
Horsham,5,3,1
East Greenville,1,1,1
Abington,14,8,3
Pottstown,9,3,1
Ambler,3,0,0
Jenkintown,1,0,1
Skippack,2,0,0
Upper Merion,8,5,2
Whitpain,3,1,1
Lower Salford,2,2,0
Plymouth,1,8,2
Upper Moreland,4,6,0
Cheltenham,4,7,2
Lansdale,6,3,0
New Hanover,1,0,0
West Norriton,4,1,2
Whitemarsh,1,4,1
Limerick,7,6,2
Lower Moreland,4,2,0
Towamencin,3,0,1
Upper Providence,3,2,2
Springfield,1,1,1
Hatfield Township,0,2,2
Lower Pottsgrove,1,2,1
Upper Gwynedd,2,1,0
Perkiomen,1,0,0
Lower Providence,7,1,1
Conshohocken,2,0,1
North Wales,2,0,0
Douglass,2,1,0
Souderton,1,1,1
Lower Gwynedd,3,3,0
Upper Dublin,4,1,1
Royersford,1,0,2
Telford,2,0,0
West Conshohocke,1,0,0
Hatboro,1,1,0
Red Hill,1,0,0
Lower Frederick,0,4,0
Bridgeport,2,0,0
East Norriton,4,2,0
Bryn Athyn,0,1,1
Collegeville,2,0,0
Franconia,1,1,0
Delaware County,0,0,1
Upper Hanover,1,0,0
